     # position        density    temperature             vx             vy             vz
   0.18050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.18950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.19950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20750E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20850E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.20950E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21050E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21150E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21250E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21350E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21450E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21550E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
   0.21650E+002   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000   0.00000E+000
